"","X","PATENT","GYEAR","GDATE","APPYEAR","COUNTRY","POSTATE","ASSIGNEE","ASSCODE","CLAIMS","NCLASS","CAT","SUBCAT","CMADE","CRECEIVE","RATIOCIT","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","SELFCTUB","SELFCTLB","SECDUPBD","SECDLWBD","logCRECEIVE","CLAIMSORIGINAL"
"1061",1061,5794091,1998,14102,1996,"BE","",10990,3,15,396,5,54,5,2,1,0.5,0.32,1.5,9.6,0,0,0.5,0.5,0.693147180559945,4.8
"1062",1062,5559897,1996,13416,1994,"US","NJ",722326,2,11,382,2,22,5,17,1,0.6644,0,1.4706,2.4,0,0,0.2143,0.1765,2.83321334405622,0
"1063",1063,5517495,1996,13283,1994,"US","NJ",706518,2,23,370,2,21,4,38,1,0.3726,0.375,1.8947,2.75,0.5,0.5,0,0,3.63758615972639,8.625
"1064",1064,5414071,1995,12912,1991,"US","MA",219905,2,2,530,1,15,4,3,1,0.4444,0.625,5,3.5,0.25,0.25,0,0,1.09861228866811,1.25
"1065",1065,5685132,1997,13829,1996,"NL","",478430,3,18,53,6,68,10,1,1,0,0.72,1,15.4,0.125,0.1,1,1,0,12.96
"1066",1066,5600218,1997,13549,1995,"US","WI",NA,4,15,318,4,45,26,5,1,0.56,0,2.4,4.3462,NA,NA,NA,NA,1.6094379124341,0
"1067",1067,5597667,1997,13542,1994,"JP","",379245,3,4,430,1,19,1,2,1,0.5,0,2,3,0,0,0,0,0.693147180559945,0
"1068",1068,5544652,1996,13374,1994,"US","MD",597315,6,14,600,3,32,5,2,1,0,0.32,2,3.2,0,0,0,0,0.693147180559945,4.48
"1069",1069,5449306,1995,13038,1993,"JP","",492815,3,20,440,5,55,4,9,1,0.1975,0.625,3.3333,6.25,0.75,0.75,0.5556,0.5556,2.19722457733622,12.5
"1070",1070,5533372,1996,13339,1994,"US","IN",714737,2,6,72,5,52,2,1,0,0,NA,5,70.5,0,0,0,0,0,NA
"1071",1071,5441047,1995,13010,1993,"IL","",NA,1,36,600,3,32,35,30,1,0.6156,0.8424,3,11.2286,NA,NA,NA,NA,3.40119738166216,30.3264
"1072",1072,5546861,1996,13381,1995,"DE","",246180,3,1,101,6,69,5,1,1,0,0.48,3,4.8,0.75,0.6,1,1,0,0.48
"1073",1073,5769578,1998,14053,1995,"JP","",301340,3,8,409,5,51,7,1,1,0,0.4082,3,17,0.3333,0.2857,0,0,0,3.2656
"1074",1074,5656176,1997,13738,1996,"US","CA",NA,1,1,166,6,64,21,1,0.9048,0,0.4432,0,15.9524,NA,NA,NA,NA,0,0.4432
"1075",1075,5695646,1997,13857,1995,"DE","",430310,3,3,210,1,19,4,2,1,0.5,0,2,18.25,0,0,0,0,0.693147180559945,0
"1076",1076,5377546,1995,12786,1992,"US","NY",233825,2,22,73,4,43,6,2,0.8333,0.5,0,3.5,14.1667,0.2,0.1667,0,0,0.693147180559945,0
"1077",1077,5832829,1998,14193,1997,"DE","",720644,3,9,101,6,69,10,1,1,0,0.18,1,11.3,0,0,0,0,0,1.62
"1078",1078,5568711,1996,13451,1995,"DE","",251885,3,8,52,6,69,1,3,1,0.4444,0,2,16,0,0,0,0,1.09861228866811,0
"1079",1079,5389289,1995,12828,1994,"JP","",367550,3,20,252,1,19,7,11,1,0.1653,0.449,1.5455,4.5714,0.5714,0.5714,0.5455,0.5455,2.39789527279837,8.98
"1080",1080,5568059,1996,13444,1994,"JP","",403615,3,5,324,4,43,8,2,1,0,0.75,2.5,14.25,0.2857,0.25,0.5,0.5,0.693147180559945,3.75
"1081",1081,5461997,1995,13087,1994,"SE","",261660,3,9,112,6,63,6,1,1,0,0,4,9,0,0,0,0,0,0
"1082",1082,5662233,1997,13759,1995,"US","CA",712734,2,19,215,6,68,34,1,0.9118,0,0.5161,2,15.4706,0.0435,0.0294,1,1,0,9.8059
"1083",1083,5417400,1995,12926,1991,"JP","",35050,3,14,248,6,69,8,2,0.75,0,0.6667,4.5,27.5,0.6,0.375,1,0.5,0.693147180559945,9.3338
"1084",1084,5589680,1996,13514,1996,"US","NY",676549,2,8,235,5,59,37,2,0.973,0,0.537,0.5,13.6216,0.3333,0.2973,0,0,0.693147180559945,4.296
"1085",1085,5437591,1995,12996,1994,"TW","",NA,1,2,482,5,59,8,4,0.75,0.375,0,2.25,23.375,NA,NA,NA,NA,1.38629436111989,0
"1086",1086,5397264,1995,12856,1993,"US","NY",NA,1,14,453,5,59,10,1,0.3,0,0.4444,5,48.8,NA,NA,NA,NA,0,6.2216
"1087",1087,5493462,1996,13199,1994,"US","ID",250060,2,7,360,2,24,8,3,1,0.4444,0.4063,3,3,0.1667,0.125,0,0,1.09861228866811,2.8441
"1088",1088,5502634,1996,13234,1994,"CA","",379070,3,8,363,4,45,7,3,1,0,0.7347,1.6667,14.8571,0,0,0,0,1.09861228866811,5.8776
"1089",1089,5614343,1997,13598,1995,"JP","",709856,3,9,430,1,19,5,1,1,0,0.32,2,10.6,0,0,1,1,0,2.88
"1090",1090,5662070,1997,13759,1995,"DE","",512710,3,8,122,6,66,4,3,1,0,0,2.6667,6.25,0.25,0.25,1,1,1.09861228866811,0
"1091",1091,5512094,1996,13269,1992,"US","FL",165265,2,20,106,1,12,28,1,0.9643,0,0.8779,5,9.8571,0.2692,0.25,0,0,0,17.558
"1092",1092,5514001,1996,13276,1994,"US","NY",295755,2,15,439,4,41,12,2,0.75,0,0,3,24.6667,0.1667,0.0833,0,0,0.693147180559945,0
"1093",1093,5697780,1997,13864,1995,"US","WI",25930,2,21,433,3,39,17,1,1,0,0.6021,2,10.2941,0,0,0,0,0,12.6441
"1094",1094,5680798,1997,13815,1995,"TW","",723027,3,9,74,5,59,26,2,0.9231,0,0.6632,2,18.8462,0,0,0,0,0.693147180559945,5.9688
"1095",1095,5780638,1998,14074,1996,"DE","",55665,3,11,548,1,14,0,1,NA,0,NA,1,NA,NA,NA,0,0,0,NA
"1096",1096,5448528,1995,13031,1994,"JP","",211480,3,7,365,2,24,1,5,1,0.32,0,2.2,1,0,0,0.2,0.2,1.6094379124341,0
"1097",1097,5464424,1995,13094,1994,"US","MO",NA,1,4,606,3,32,4,2,1,0.5,0.625,2,23.75,NA,NA,NA,NA,0.693147180559945,2.5
"1098",1098,5510442,1996,13262,1995,"US","NY",55420,2,15,528,1,15,11,2,1,0,0.8264,1,13,0.4444,0.3636,0,0,0.693147180559945,12.396
"1099",1099,5618334,1997,13612,1995,"US","NH",686347,2,11,96,1,13,26,1,1,0,0.6686,2,5.6538,0.0769,0.0769,1,1,0,7.3546
"1100",1100,5499938,1996,13227,1994,"JP","",581270,3,16,445,4,42,8,12,1,0.6944,0.75,2.3333,5.625,0,0,0.5,0.5,2.484906649788,12
"1101",1101,5453819,1995,13052,1994,"JP","",503380,3,31,399,5,54,2,1,1,0,0,1,2,0,0,1,1,0,0
"1102",1102,5393134,1995,12842,1993,"US","IL",92420,2,11,305,5,55,11,2,0.6364,0,0.6939,3.5,33.4545,0.6667,0.3636,0,0,0.693147180559945,7.6329
"1103",1103,5509559,1996,13262,1994,"JP","",39205,3,11,220,6,68,8,1,0.875,0,0.2449,3,16.25,0,0,0,0,0,2.6939
"1104",1104,5718545,1998,13927,1995,"US","CA",NA,1,11,409,5,51,7,1,1,0,0.2449,3,11.8571,NA,NA,NA,NA,0,2.6939
"1105",1105,5743582,1998,13997,1997,"US","OR",331665,2,4,294,5,59,9,1,0.4444,0,0.375,1,52.8889,0.5,0.1111,1,1,0,1.5
"1106",1106,5668917,1997,13773,1995,"US","MA",NA,1,10,386,4,49,4,5,1,0.48,0.375,1.4,2.75,NA,NA,NA,NA,1.6094379124341,3.75
"1107",1107,5413117,1995,12912,1994,"US","CA",NA,1,16,128,3,32,14,3,0.7857,0.4444,0.4628,1,18.2857,NA,NA,NA,NA,1.09861228866811,7.4048
"1108",1108,5769794,1998,14053,1996,"US","MA",724640,2,20,600,3,32,22,1,1,0,0.7355,2,6.1818,0,0,0,0,0,14.71
"1109",1109,5451280,1995,13045,1994,"DE","",489515,3,9,156,1,19,12,2,0.75,0.5,0.6914,1,13.8333,0.1111,0.0833,0,0,0.693147180559945,6.2226
"1110",1110,5575081,1996,13472,1995,"DE","",689098,3,13,34,1,19,6,3,1,0.4444,0.7222,0.6667,4.1667,0,0,0,0,1.09861228866811,9.3886
"1111",1111,5439327,1995,13003,1994,"IL","",285680,3,13,407,5,51,9,4,0.7778,0.375,0.6122,1.75,20.5556,0.1667,0.1111,0.25,0.25,1.38629436111989,7.9586
"1112",1112,5566345,1996,13437,1994,"US","MI",NA,1,12,710,2,22,14,6,1,0,0.5306,2.3333,4.7857,NA,NA,NA,NA,1.79175946922805,6.3672
"1113",1113,5419339,1995,12933,1994,"US","FL",684530,2,14,600,3,32,18,5,0.9444,0.48,0.5882,1.6,7.6667,0.2308,0.1667,0.5,0.4,1.6094379124341,8.2348
"1114",1114,5430434,1995,12968,1993,"US","NJ",NA,1,7,340,2,21,4,2,1,0,0.375,4,4.25,NA,NA,NA,NA,0.693147180559945,2.625
"1115",1115,5431095,1995,12975,1993,"US","CO",43740,2,13,99,6,61,20,1,0.55,0,0.5124,3,27.7,0.875,0.35,0,0,0,6.6612
"1116",1116,5423558,1995,12947,1994,"US","AZ",711966,2,20,279,6,69,4,22,1,0.0868,0.625,2.4545,15.25,0,0,0,0,3.09104245335832,12.5
"1117",1117,5380267,1995,12793,1993,"US","NJ",136246,2,33,600,3,32,17,2,1,0.5,0.519,2,7.4118,0,0,0,0,0.693147180559945,17.127
"1118",1118,5499989,1996,13227,1994,"US","KS",NA,1,3,606,3,32,10,11,1,0.1653,0.48,2.7273,5.4,NA,NA,NA,NA,2.39789527279837,1.44
"1119",1119,5569635,1996,13451,1994,"US","MA",263950,2,27,502,1,19,2,2,1,0.5,0,3,4,1,1,1,1,0.693147180559945,0
"1120",1120,5445894,1995,13024,1991,"US","MI",153465,2,20,428,6,69,9,1,1,0,0.716,5,4,0.8889,0.8889,0,0,0,14.32
"1121",1121,5441544,1995,13010,1993,"US","CA",689052,2,41,44,1,19,15,4,1,0,0.6933,2.25,15.2667,0,0,1,1,1.38629436111989,28.4253
"1122",1122,5734156,1998,13969,1996,"US","CA",492910,2,17,250,4,44,4,1,1,0,0.625,1,4.5,0.5,0.5,0,0,0,10.625
"1123",1123,5531092,1996,13332,1995,"JP","",NA,1,16,73,4,43,5,2,1,0,0.64,2.5,10,NA,NA,NA,NA,0.693147180559945,10.24
"1124",1124,5383650,1995,12807,1994,"CA","",NA,1,37,266,5,52,11,1,0.9091,0,0.34,3,17.2727,NA,NA,NA,NA,0,12.58
"1125",1125,5493666,1996,13199,1995,"US","CA",32940,2,8,711,2,24,9,4,1,0.625,0.3457,2,4.8889,0,0,0,0,1.38629436111989,2.7656
"1126",1126,5538603,1996,13353,1994,"US","CA",33480,2,21,204,1,19,4,3,1,0,0,1.6667,15,0,0,1,1,1.09861228866811,0
"1127",1127,5396338,1995,12849,1991,"JP","",39265,3,11,386,4,49,4,4,1,0.75,0,4.75,7.5,0,0,0,0,1.38629436111989,0
"1128",1128,5660255,1997,13752,1994,"US","MA",33615,2,79,188,5,53,49,3,1,0.4444,0.7855,3,9.1429,0.0222,0.0204,0.5,0.3333,1.09861228866811,62.0545
"1129",1129,5652171,1997,13724,1996,"JP","",358990,3,7,438,4,46,3,1,1,0,0.4444,1,2.6667,0.3333,0.3333,0,0,0,3.1108
"1130",1130,5581497,1996,13486,1994,"US","CA",278220,2,21,708,2,22,12,2,1,0.5,0.1528,2.5,3.9167,0.3636,0.3333,0,0,0.693147180559945,3.2088
"1131",1131,5477048,1995,13136,1993,"JP","",503410,3,7,250,4,44,3,2,1,0,0.4444,4.5,3.6667,0,0,0.5,0.5,0.693147180559945,3.1108
"1132",1132,5549826,1996,13388,1994,"US","ME",NA,1,1,210,1,19,7,2,0.8571,0.5,0.6111,3,24.7143,NA,NA,NA,NA,0.693147180559945,0.6111
"1133",1133,5707307,1998,13892,1996,"US","KS",NA,1,5,473,6,62,12,1,0.8333,0,0.64,2,29.9167,NA,NA,NA,NA,0,3.2
"1134",1134,5418454,1995,12926,1993,"JP","",379245,3,4,324,4,43,2,6,1,0,0,2.1667,9,1,0.5,0.3333,0.3333,1.79175946922805,0
"1135",1135,5545647,1996,13374,1995,"JP","",709856,3,8,514,3,31,0,4,NA,0,NA,2.5,NA,NA,NA,0,0,1.38629436111989,NA
"1136",1136,5720398,1998,13934,1996,"US","OH",698756,2,20,211,6,65,9,3,0.6667,0.6667,0.5,1,29.6667,0,0,0.3333,0.3333,1.09861228866811,10
"1137",1137,5486871,1996,13171,1992,"US","IN",573980,2,14,348,4,49,15,7,1,0,0.2311,4.1429,7.2667,0.1538,0.1333,0,0,1.94591014905531,3.2354
"1138",1138,5532749,1996,13332,1994,"KR","",227815,3,10,348,4,49,10,1,1,0,0.18,3,6.5,0,0,0,0,0,1.8
"1139",1139,5650536,1997,13717,1994,"US","NJ",186560,2,29,560,1,14,131,1,0.9466,0,0.7542,3,22,0.1685,0.1145,1,1,0,21.8718
"1140",1140,5511270,1996,13269,1994,"IL","",NA,1,15,15,6,69,10,2,0.7,0.5,0.449,2,24.6,NA,NA,NA,NA,0.693147180559945,6.735
"1141",1141,5537154,1996,13346,1994,"KR","",491065,3,12,348,4,49,11,1,1,0,0.4298,3,5.9091,0.1818,0.1818,0,0,0,5.1576
"1142",1142,5607618,1997,13577,1993,"DE","",254145,3,17,510,1,19,5,1,1,0,0.32,2,11,0,0,0,0,0,5.44
"1143",1143,5711105,1998,13906,1995,"US","MN",NA,1,3,43,6,61,8,1,0.75,0,0.4444,2,26,NA,NA,NA,NA,0,1.3332
"1144",1144,5640451,1997,13682,1996,"US","TX",8075,2,10,379,2,21,7,3,1,0.4444,0,0,7.7143,0,0,0.6667,0.6667,1.09861228866811,0
"1145",1145,5489432,1996,13185,1993,"US","CA",390540,2,2,424,3,31,8,4,1,0.625,0.5313,2.25,7.625,0.625,0.625,0.25,0.25,1.38629436111989,1.0626
"1146",1146,5684858,1997,13822,1995,"US","NY",734888,2,16,379,2,21,15,1,1,0,0.48,2,10.1333,0,0,0,0,0,7.68
"1147",1147,5615470,1997,13605,1994,"IT","",723241,3,10,29,5,52,3,2,0.6667,0,0.5,3.5,36.6667,0,0,0,0,0.693147180559945,5
"1148",1148,5459690,1995,13073,1992,"DE","",512710,3,16,365,2,24,2,14,1,0.1327,0,4.5714,8.5,0,0,0,0,2.63905732961526,0
"1149",1149,5709954,1998,13899,1995,"US","OR",401540,2,20,428,6,69,11,1,0.9091,0,0.78,1,15.1818,0,0,0,0,0,15.6
"1150",1150,5459487,1995,13073,1994,"US","OR",686482,2,8,463,6,62,14,6,1,0.6667,0.8673,2.5,7,0.1429,0.1429,0,0,1.79175946922805,6.9384
"1151",1151,5458120,1995,13073,1993,"US","NY",218550,2,25,600,3,32,11,2,1,0,0.8595,4,10.7273,0.4,0.3636,1,1,0.693147180559945,21.4875
"1152",1152,5517286,1996,13283,1994,"JP","",87490,3,30,399,5,54,12,4,0.75,0,0.1975,1.5,20,0.1111,0.0833,0.5,0.5,1.38629436111989,5.925
"1153",1153,5738651,1998,13983,1996,"US","OH",735,2,37,604,3,32,14,1,1,0,0.5,1,6.8571,0.0714,0.0714,0,0,0,18.5
"1154",1154,5604472,1997,13563,1995,"US","IL",682635,2,19,333,2,21,18,2,1,0,0.716,1.5,10.9444,0,0,1,1,0.693147180559945,13.604
"1155",1155,5455624,1995,13059,1994,"JP","",508240,3,3,348,4,49,5,2,1,0,0.72,0.5,4.2,0,0,0,0,0.693147180559945,2.16
"1156",1156,5534301,1996,13339,1995,"US","NV",722078,2,29,427,1,12,8,1,1,0,0.8125,2,17.125,0,0,0,0,0,23.5625
"1157",1157,5522266,1996,13304,1993,"US","OH",363890,2,31,73,4,43,24,2,1,0.5,0.5938,3.5,10.8333,0.0833,0.0833,0,0,0.693147180559945,18.4078
"1158",1158,5531596,1996,13332,1995,"US","AZ",NA,1,27,433,3,39,1,1,1,0,0,1,32,NA,NA,NA,NA,0,0
"1159",1159,5447733,1995,13031,1994,"US","CA",714291,2,48,426,6,61,13,3,0.6923,0.4444,0.716,1.6667,21.0769,0,0,0,0,1.09861228866811,34.368
"1160",1160,5663393,1997,13759,1995,"US","IL",471735,2,81,556,1,14,1,1,1,0,0,2,7,0,0,0,0,0,0
"1161",1161,5515075,1996,13276,1995,"JP","",105480,3,14,345,2,23,4,12,1,0.6528,0.5,1.25,9,0,0,0,0,2.484906649788,7
"1162",1162,5529169,1996,13325,1995,"US","OR",514640,2,10,209,5,51,15,1,1,0,0.3467,1,12.6,0.1667,0.1333,0,0,0,3.467
"1163",1163,5407384,1995,12891,1994,"US","TN",5015,2,23,452,6,61,8,3,0.875,0,0.2449,2,17.875,0.4,0.25,0.3333,0.3333,1.09861228866811,5.6327
"1164",1164,5617888,1997,13612,1996,"US","CA",NA,1,9,135,6,69,11,1,1,0,0.6777,1,16.2727,NA,NA,NA,NA,0,6.0993
"1165",1165,5650184,1997,13717,1995,"US","IL",384705,2,27,426,6,61,37,2,0.9459,0.5,0.1094,2,14.7297,0,0,0.5,0.5,0.693147180559945,2.9538
"1166",1166,5572037,1996,13458,1995,"US","MA",599700,2,20,250,4,44,19,3,1,0.4444,0.6316,1.6667,9.3158,0,0,0,0,1.09861228866811,12.632
"1167",1167,5383559,1995,12807,1994,"AU","",708207,3,9,206,6,68,17,4,0.7059,0.5,0.7083,2.75,23.2353,0,0,0.3333,0.25,1.38629436111989,6.3747
"1168",1168,5774473,1998,14060,1995,"GB","",714154,3,27,714,2,22,2,1,1,0,0.5,2,8.5,0,0,0,0,0,13.5
"1169",1169,5520220,1996,13297,1995,"US","TX",NA,1,17,138,6,67,11,2,0.8182,0.5,0.5185,2,24.4545,NA,NA,NA,NA,0.693147180559945,8.8145
"1170",1170,5392690,1995,12842,1993,"US","WI",78720,2,8,91,5,53,27,2,0.8148,0.5,0.7893,4,19.7037,0.2353,0.1481,0,0,0.693147180559945,6.3144
"1171",1171,5732662,1998,13969,1996,"US","WI",NA,1,21,119,6,61,74,1,0.7297,0,0.5171,1,28.3243,NA,NA,NA,NA,0,10.8591
"1172",1172,5563422,1996,13430,1994,"JP","",700863,3,49,257,4,46,5,13,1,0.5207,0.32,2.9231,7,0,0,0,0,2.56494935746154,15.68
"1173",1173,5452277,1995,13045,1993,"US","CA",280070,2,15,369,2,24,16,18,1,0.5185,0.7109,3.0556,8.125,0.125,0.125,0.3889,0.3889,2.89037175789616,10.6635
"1174",1174,5546193,1996,13374,1994,"US","IN",573980,2,7,386,4,49,11,7,1,0.7755,0.5455,1.7143,5.4545,0,0,0,0,1.94591014905531,3.8185
"1175",1175,5814765,1998,14151,1997,"DE","",512710,3,7,174,4,41,4,1,1,0,0.375,0,10.75,0.3333,0.25,0,0,0,2.625
"1176",1176,5556544,1996,13409,1995,"US","CA",NA,1,13,210,1,19,26,2,1,0.5,0.6568,1.5,6.5,NA,NA,NA,NA,0.693147180559945,8.5384
"1177",1177,5620795,1997,13619,1995,"US","MN",377880,2,4,428,6,69,96,1,1,0,0.7411,0,11.9583,0.6129,0.5938,1,1,0,2.9644
"1178",1178,5525778,1996,13311,1995,"JP","",582975,3,7,219,4,49,4,3,1,0,0,1.6667,15.5,0,0,0,0,1.09861228866811,0
"1179",1179,5622388,1997,13626,1995,"US","FL",NA,1,2,283,6,69,2,1,0.5,0,0,1,36.5,NA,NA,NA,NA,0,0
"1180",1180,5645642,1997,13703,1996,"JP","",33480,2,8,118,1,12,9,3,1,0.6667,0.7654,1,10,0.1111,0.1111,0,0,1.09861228866811,6.1232
"1181",1181,5505454,1996,13248,1995,"US","RI",NA,1,17,473,6,62,4,1,0.75,0,0.6667,2,18.75,NA,NA,NA,NA,0,11.3339
"1182",1182,5527682,1996,13318,1994,"US","CO",599475,2,8,435,3,33,0,5,NA,0.56,NA,1.4,NA,NA,NA,0,0,1.6094379124341,NA
"1183",1183,5626516,1997,13640,1995,"US","WI",438925,2,1,454,5,59,6,1,1,0,0.7778,3,8,0,0,0,0,0,0.7778
"1184",1184,5668200,1997,13773,1996,"DE","",104245,2,13,524,1,15,14,2,1,0,0.7143,1.5,13.3571,0.5455,0.4286,0,0,0.693147180559945,9.2859
"1185",1185,5569399,1996,13451,1995,"US","NY",218550,2,3,219,4,49,13,1,1,0,0.6864,0,4.2308,0.1667,0.1538,0,0,0,2.0592
"1186",1186,5572045,1996,13458,1995,"JP","",503410,3,1,257,4,46,10,2,1,0,0.72,1.5,6.9,0.1,0.1,0,0,0.693147180559945,0.72
"1187",1187,5450018,1995,13038,1994,"CH","",714475,3,5,324,4,43,5,1,1,0,0.72,3,5.6,0,0,0,0,0,3.6
"1188",1188,5702966,1997,13878,1996,"JP","",581270,3,4,438,4,46,7,1,1,0,0.5714,1,3,0.3333,0.2857,0,0,0,2.2856
"1189",1189,5494383,1996,13206,1995,"DE","",352180,3,15,408,5,51,3,2,1,0.5,0,2,9.6667,0.3333,0.3333,0.5,0.5,0.693147180559945,0
"1190",1190,5490940,1996,13192,1994,"US","TX",186585,2,19,210,1,19,12,3,0.8333,0.4444,0.34,3.6667,22.5833,0,0,1,1,1.09861228866811,6.46
"1191",1191,5418196,1995,12926,1991,"JP","",NA,5,5,501,1,19,14,2,0.7857,0.5,0.314,5,21.2857,NA,NA,NA,NA,0.693147180559945,1.57
"1192",1192,5586719,1996,13507,1994,"US","CA",NA,1,20,236,6,69,11,1,1,0,0.6116,3,13.6364,NA,NA,NA,NA,0,12.232
"1193",1193,5728617,1998,13955,1996,"TW","",719745,3,21,438,4,46,6,2,1,0.5,0.2778,2,4.1667,0.1667,0.1667,0,0,0.693147180559945,5.8338
"1194",1194,5575376,1996,13472,1994,"IT","",614390,3,6,198,5,59,5,4,1,0.375,0.48,2.5,9.8,0,0,0,0,1.38629436111989,2.88
"1195",1195,5430011,1995,12968,1992,"JP","",714593,3,7,505,4,46,2,2,1,0.5,0.5,4,4,0.5,0.5,0.5,0.5,0.693147180559945,3.5
"1196",1196,5474026,1995,13129,1994,"US","ME",NA,1,4,119,6,61,5,4,0.8,0,0.375,2.25,14.2,NA,NA,NA,NA,1.38629436111989,1.5
"1197",1197,5541091,1996,13360,1995,"US","OH",706653,2,14,435,3,33,4,1,1,0,0.375,1,5.5,0,0,0,0,0,5.25
"1198",1198,5450962,1995,13045,1993,"US","CA",NA,1,6,206,6,68,11,2,1,0.5,0.6446,3,7.8182,NA,NA,NA,NA,0.693147180559945,3.8676
"1199",1199,5714794,1998,13913,1996,"JP","",252730,3,25,257,4,46,5,1,1,0,0.72,2,18,0,0,0,0,0,18
"1200",1200,5476076,1995,13136,1994,"CN","",NA,1,18,123,5,53,16,3,1,0,0.4922,2.6667,6.5,NA,NA,NA,NA,1.09861228866811,8.8596
"1201",1201,5799260,1998,14116,1996,"US","MI",731510,2,6,701,2,22,9,1,1,0,0.6914,1,5.8889,0,0,1,1,0,4.1484
"1202",1202,5578398,1996,13479,1995,"US","PA",725939,2,27,429,4,45,10,1,0.5,0,0.32,2,40.4,0,0,0,0,0,8.64
"1203",1203,5678761,1997,13808,1995,"JP","",491445,3,2,237,6,66,8,2,0.5,0.5,0.375,3,29,0.3333,0.125,0.5,0.5,0.693147180559945,0.75
"1204",1204,5387289,1995,12821,1992,"US","CA",220300,2,9,118,1,12,5,3,1,0,0,3,6.8,0,0,0,0,1.09861228866811,0
"1205",1205,5424058,1995,12947,1994,"US","CT",454215,2,18,424,3,31,7,3,0.8571,0.4444,0.6111,3,11.2857,0,0,0.6667,0.6667,1.09861228866811,10.9998
"1206",1206,5519742,1996,13290,1995,"FR","",206710,3,11,376,4,44,4,1,1,0,0.375,0,4.75,0.5,0.5,0,0,0,4.125
"1207",1207,5742557,1998,13990,1996,"CA","",408420,3,4,365,2,24,4,6,1,0.6111,0.375,1.3333,2.5,0,0,0.1667,0.1667,1.79175946922805,1.5
"1208",1208,5430931,1995,12975,1993,"US","IN",218550,2,8,29,5,52,38,9,0.7105,0.1975,0.738,2.6667,21.4211,0.28,0.1842,0,0,2.19722457733622,5.904
"1209",1209,5377683,1995,12786,1991,"US","CA",NA,1,18,600,3,32,12,4,1,0.375,0.5417,5,7.8333,NA,NA,NA,NA,1.38629436111989,9.7506
"1210",1210,5576745,1996,13472,1994,"JP","",87490,3,58,347,2,23,12,8,1,0.4063,0,1.75,8.75,0.5833,0.5833,0.5,0.5,2.07944154167984,0
"1211",1211,5478429,1995,13143,1994,"JP","",578775,3,17,156,1,19,5,9,1,0.716,0.64,1.3333,2.6,0,0,0.1111,0.1111,2.19722457733622,10.88
"1212",1212,5712303,1998,13906,1995,"US","CT",437695,2,7,514,3,31,5,3,1,0.4444,0.56,2.6667,13,0,0,0,0,1.09861228866811,3.92
"1213",1213,5512490,1996,13269,1994,"US","MA",589195,2,6,436,1,19,18,2,1,0.5,0.7407,3,4.8333,0.5294,0.5,0,0,0.693147180559945,4.4442
"1214",1214,5775976,1998,14067,1997,"US","NY",742751,2,12,451,5,51,9,1,1,0,0.1975,2,9.8889,0,0,0,0,0,2.37
"1215",1215,5600688,1997,13549,1995,"US","CA",218550,2,5,376,4,44,4,3,1,0,0.625,1.3333,9.25,0.3333,0.25,0,0,1.09861228866811,3.125
"1216",1216,5412100,1995,12905,1993,"DE","",55665,3,11,548,1,14,3,1,1,0,0.4444,4,4,0.6667,0.6667,0,0,0,4.8884
"1217",1217,5646438,1997,13703,1995,"DE","",144460,3,20,257,4,46,9,1,1,0,0.716,2,4.2222,0,0,0,0,0,14.32
"1218",1218,5807123,1998,14137,1997,"NL","",695811,2,16,439,4,41,4,2,1,0,0.375,0,12.75,0,0,0,0,0.693147180559945,6
"1219",1219,5498063,1996,13220,1994,"AT","",NA,5,9,297,6,65,9,1,1,0,0,3,8,NA,NA,NA,NA,0,0
"1220",1220,5535008,1996,13339,1994,"JP","",610235,3,10,386,4,49,1,33,1,0.5271,0,2.3636,2,0,0,0.0313,0.0303,3.49650756146648,0
"1221",1221,5600810,1997,13549,1994,"US","MA",723131,2,11,712,2,22,3,5,1,0.32,0,2.6,2,0,0,0,0,1.6094379124341,0
"1222",1222,5643612,1997,13696,1995,"JP","",710692,3,1,425,5,51,7,1,1,0,0.4898,2,13.7143,0.2,0.1429,1,1,0,0.4898
"1223",1223,5496419,1996,13213,1994,"JP","",472010,3,9,148,5,52,6,1,1,0,0.5,1,16.1667,0.8333,0.8333,1,1,0,4.5
"1224",1224,5652161,1997,13724,1996,"KR","",264195,3,5,438,4,46,4,2,1,0,0,2,4,0,0,0,0,0.693147180559945,0
"1225",1225,5524317,1996,13311,1994,"JP","",158310,3,6,15,6,69,1,1,1,0,0,3,13,0,0,0,0,0,0
"1226",1226,5467348,1995,13101,1994,"JP","",395735,3,10,370,2,21,3,4,1,0.375,0,1.5,2.3333,0,0,0,0,1.38629436111989,0
"1227",1227,5638003,1997,13675,1995,"US","NC",730875,2,26,324,4,43,5,1,1,0,0,1,8.6,0,0,0,0,0,0
"1228",1228,5396231,1995,12849,1993,"US","NJ",355180,2,3,340,2,21,5,1,1,0,0.32,3,14.8,0,0,0,0,0,0.96
"1229",1229,5655007,1997,13731,1994,"US","MD",58435,2,29,379,2,21,4,5,1,0.48,0.375,2.8,6.25,0.5,0.5,0,0,1.6094379124341,10.875
"1230",1230,5473261,1995,13122,1994,"JP","",508240,3,11,324,4,43,2,5,1,0.72,0.5,2.6,1,0,0,0,0,1.6094379124341,5.5
"1231",1231,5680694,1997,13815,1996,"US","CA",NA,1,3,29,5,52,7,1,1,0,0.6939,1,9,NA,NA,NA,NA,0,2.0817
